kind,date,mode_price
ねぎ,20221126,1404
ねぎ,20221128,1404
ねぎ,20221129,1404
きゅうり,20221101,1404
きゅうり,20221102,1404
きゅうり,20221104,1404
きゅうり,20221105,1404
きゅうり,20221107,1404
きゅうり,20221108,1404
きゅうり,20221110,1404
きゅうり,20221111,1404
きゅうり,20221112,1404
きゅうり,20221114,1404
きゅうり,20221115,1404
きゅうり,20221117,1404
きゅうり,20221118,1404
きゅうり,20221119,1404
きゅうり,20221121,1404
きゅうり,20221122,1404
きゅうり,20221124,1404
きゅうり,20221125,1404
きゅうり,20221126,1404
きゅうり,20221128,1404
きゅうり,20221129,1404
かぼちゃ,20221101,1404
かぼちゃ,20221102,1404
かぼちゃ,20221104,1404
かぼちゃ,20221105,1404
かぼちゃ,20221107,1404
かぼちゃ,20221108,1404
かぼちゃ,20221110,1404
かぼちゃ,20221111,1404
かぼちゃ,20221112,1404
かぼちゃ,20221114,1404
かぼちゃ,20221115,1404
かぼちゃ,20221117,1404
かぼちゃ,20221118,1404
かぼちゃ,20221119,1404
かぼちゃ,20221121,1404
かぼちゃ,20221122,1404
かぼちゃ,20221124,1404
かぼちゃ,20221125,1404
かぼちゃ,20221126,1404
かぼちゃ,20221128,1404
かぼちゃ,20221129,1404
トマト,20221101,1404
トマト,20221102,1404
トマト,20221104,1404
トマト,20221105,1404
トマト,20221107,1404
トマト,20221108,1404
トマト,20221110,1404
トマト,20221111,1404
トマト,20221112,1404
トマト,20221114,1404
トマト,20221115,1404
トマト,20221117,1404
トマト,20221118,1404
トマト,20221119,1404
トマト,20221121,1404
トマト,20221122,1404
トマト,20221124,1404
トマト,20221125,1404
トマト,20221126,1404
トマト,20221128,1404
トマト,20221129,1404
ピーマン,20221101,1404
ピーマン,20221102,1404
ピーマン,20221104,1404
ピーマン,20221105,1404
ピーマン,20221107,1404
ピーマン,20221108,1404
ピーマン,20221110,1404
ピーマン,20221111,1404
ピーマン,20221112,1404
ピーマン,20221114,1404
ピーマン,20221115,1404
ピーマン,20221117,1404
ピーマン,20221118,1404
ピーマン,20221119,1404
ピーマン,20221121,1404
ピーマン,20221122,1404
ピーマン,20221124,1404
ピーマン,20221125,1404
ピーマン,20221126,1404
ピーマン,20221128,1404
ピーマン,20221129,1404
さといも,20221101,1404
さといも,20221102,1404
さといも,20221104,1404
さといも,20221105,1404
さといも,20221107,1404
さといも,20221108,1404
さといも,20221110,1404
さといも,20221111,1404
さといも,20221112,1404
さといも,20221114,1404
さといも,20221115,1404
さといも,20221117,1404
さといも,20221118,1404
さといも,20221119,1404
さといも,20221121,1404
さといも,20221122,1404
さといも,20221124,1404
さといも,20221125,1404
さといも,20221126,1404
さといも,20221128,1404
さといも,20221129,1404
たまねぎ,20221101,1404
たまねぎ,20221102,1404
たまねぎ,20221104,1404
たまねぎ,20221105,1404
たまねぎ,20221107,1404
たまねぎ,20221108,1404
たまねぎ,20221110,1404
たまねぎ,20221111,1404
たまねぎ,20221112,1404
たまねぎ,20221114,1404
たまねぎ,20221115,1404
たまねぎ,20221117,1404
たまねぎ,20221118,1404
たまねぎ,20221119,1404
たまねぎ,20221121,1404
たまねぎ,20221122,1404
たまねぎ,20221124,1404
たまねぎ,20221125,1404
たまねぎ,20221126,1404
たまねぎ,20221128,1404
たまねぎ,20221129,1404
なましいたけ,20221101,1404
なましいたけ,20221102,1404
なましいたけ,20221104,1404
なましいたけ,20221105,1404
なましいたけ,20221107,1404
なましいたけ,20221108,1404
なましいたけ,20221110,1404
なましいたけ,20221111,1404
なましいたけ,20221112,1404
なましいたけ,20221114,1404
なましいたけ,20221115,1404
なましいたけ,20221117,1404
なましいたけ,20221118,1404
なましいたけ,20221119,1404
なましいたけ,20221121,1404
なましいたけ,20221122,1404
なましいたけ,20221124,1404
なましいたけ,20221125,1404
なましいたけ,20221126,1404
なましいたけ,20221128,1404
なましいたけ,20221129,1404
ミニトマト,20221101,1404
ミニトマト,20221102,1404
ミニトマト,20221104,1404
ミニトマト,20221105,1404
ミニトマト,20221107,1404
ミニトマト,20221108,1404
ミニトマト,20221110,1404
ミニトマト,20221111,1404
ミニトマト,20221112,1404
ミニトマト,20221114,1404
ミニトマト,20221115,1404
ミニトマト,20221117,1404
ミニトマト,20221118,1404
ミニトマト,20221119,1404
ミニトマト,20221121,1404
ミニトマト,20221122,1404
ミニトマト,20221124,1404
ミニトマト,20221125,1404
ミニトマト,20221126,1404
ミニトマト,20221128,1404
ミニトマト,20221129,1404
